# r (m)    phi_deg    alpha_opt_deg    theta_deg
0.1    2.2785247    4    6.2785247
0.118    1.93124    4    5.93124
0.136    1.6757916    4    5.6757916
0.154    1.4800127    4    5.4800127
0.172    1.3251861    4    5.3251861
0.19    1.1996808    4    5.1996808
0.208    1.0958888    4    5.0958888
0.226    1.0086244    4    5.0086244
0.244    0.93423139    4    4.9342314
0.262    0.87005779    4    4.8700578
0.28    0.81413329    4    4.8141333
0.298    0.76496348    4    4.7649635
0.316    0.72139436    4    4.7213944
0.334    0.6825206    4    4.6825206
0.352    0.64762203    4    4.647622
0.37    0.61611858    4    4.6161186
0.388    0.58753782    4    4.5875378
0.406    0.56149105    4    4.561491
0.424    0.53765559    4    4.5376556
0.442    0.51576132    4    4.5157613
0.46    0.49558039    4    4.4955804
0.478    0.47691924    4    4.4769192
0.496    0.45961245    4    4.4596124
0.514    0.44351772    4    4.4435177
0.532    0.42851205    4    4.4285121
0.55    0.41448852    4    4.4144885
0.568    0.40135376    4    4.4013538
0.586    0.38902587    4    4.3890259
0.604    0.37743272    4    4.3774327
0.622    0.36651054    4    4.3665105
0.64    0.3562027    4    4.3562027
0.658    0.34645879    4    4.3464588
0.676    0.33723377    4    4.3372338
0.694    0.32848727    4    4.3284873
0.712    0.32018299    4    4.320183
0.73    0.31228823    4    4.3122882
0.748    0.30477341    4    4.3047734
0.766    0.29761177    4    4.2976118
0.784    0.29077896    4    4.290779
0.802    0.28425286    4    4.2842529
0.82    0.27801326    4    4.2780133
0.838    0.27204171    4    4.2720417
0.856    0.26632129    4    4.2663213
0.874    0.26083649    4    4.2608365
0.892    0.25557304    4    4.255573
0.91    0.25051781    4    4.2505178
0.928    0.24565869    4    4.2456587
0.946    0.24098448    4    4.2409845
0.964    0.23648482    4    4.2364848
0.982    0.23215012    4    4.2321501
1    0.22797146    4    4.2279715
