# r(m)   alpha_deg
0.03019072292   15.9911974
0.03076177245   15.96484127
0.03170979745   15.92108627
0.03302923452   15.86018918
0.03471234068   15.78250735
0.0367492388   15.68849667
0.03912797555   15.57870882
0.04183459155   15.45378808
0.04485320331   15.31446754
0.04816609642   15.16156478
0.05175382949   14.9959771
0.05559534829   14.81867623
0.05966810925   14.63070265
0.0639482118   14.43315946
0.06841053858   14.22720591
0.0730289029   14.01405064
0.07777620236   13.79494451
0.0826245779   13.57117333
0.08754557735   13.34405028
0.09251032231   13.1149082
0.09748967769   12.8850918
0.1024544227   12.65594972
0.1073754221   12.42882667
0.1122237976   12.20505549
0.1169710971   11.98594936
0.1215894614   11.77279409
0.1260517882   11.56684054
0.1303318908   11.36929735
0.1344046517   11.18132377
0.1382461705   11.0040229
0.1418339036   10.83843522
0.1451467967   10.68553246
0.1481654084   10.54621192
0.1508720245   10.42129118
0.1532507612   10.31150333
0.1552876593   10.21749265
0.1569707655   10.13981082
0.1582902026   10.07891373
0.1592382275   10.03515873
0.1598092771   10.0088026
