# r(m)  chord(m)  alpha(deg)
0.0401174 0.0533511 31.9765
0.0404688 0.0605954 31.9062
0.0410522 0.0645003 31.7896
0.0418641 0.0665878 31.6272
0.0428999 0.067412 31.42
0.0441534 0.0672773 31.1693
0.0456172 0.066396 30.8766
0.0472828 0.064938 30.5434
0.0491404 0.0630477 30.1719
0.0511791 0.0608499 29.7642
0.053387 0.0584521 29.3226
0.055751 0.0559446 28.8498
0.0582573 0.0534014 28.3485
0.0608912 0.0508813 27.8218
0.0636373 0.0484291 27.2725
0.0664793 0.0460772 26.7041
0.0694007 0.0438477 26.1199
0.0723844 0.0417542 25.5231
0.0754127 0.0398034 24.9175
0.0784679 0.0379965 24.3064
0.0815321 0.0363311 23.6936
0.0845873 0.0348013 23.0825
0.0876156 0.0333995 22.4769
0.0905993 0.0321164 21.8801
0.0935207 0.0309416 21.2959
0.0963627 0.0298641 20.7275
0.0991088 0.0288723 20.1782
0.101743 0.027954 19.6515
0.104249 0.0270969 19.1502
0.106613 0.0262878 18.6774
0.108821 0.0255131 18.2358
0.11086 0.0247578 17.8281
0.112717 0.0240054 17.4566
0.114383 0.023237 17.1234
0.115847 0.0224291 16.8307
0.1171 0.0215511 16.58
0.118136 0.0205575 16.3728
0.118948 0.0193728 16.2104
0.119531 0.0178423 16.0938
0.119883 0.015522 16.0235
